ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.034422745019522145,0.1,m4.large,0.9975841785543826
13,0.06080157022738217,0.2,m4.xlarge,0.9997869073738578
26,0.12613925995383854,0.4,m4.2xlarge,0.99997869073738578
53,0.2734937804550442,0.8,m4.4xlarge,0.9962057549060028
124,0.6268092492992862,2.0,m4.10xlarge,0.9993762197039595
188,1.26903833393081,3.2,m4.16xlarge,0.9985927516489829
8,0.023896052631579037,0.1,c4.large,0.99987869073738578
16,0.04887916058394134,0.2,c4.xlarge,0.997869073738578
31,0.1134673149905145,0.4,c4.2xlarge,0.99869073738578
62,0.23031224264314656,0.8,c4.4xlarge,0.991869073738578
132,0.5017965672307683,1.6,c4.8xlarge,0.9978315651853783
7,0.07225227347792493,0.148,r4.large,0.9951399045686227
13,0.0544489346586741,0.296,r4.xlarge,0.998129459080922
27,0.17056460951949587,0.593,r4.2xlarge,0.9998025220093243
53,0.2864413119999969,1.186,r4.4xlarge,0.9988237545815998
99,0.5788256753329062,2.37,r4.8xlarge,0.97869073738578
14,0.18530156859205718,0.69,d2.xlarge,0.9793712001104541
28,0.2758743951612892,1.38,d2.2xlarge,0.6524112109695073
56,0.6037008287292823,2.76,d2.4xlarge,0.6723794368502887
16,1.2784033824804861,5.52,d2.8xlarge,0.9923584845132326
7,0.1541923076923078,0.156,i3.large,0.600038292794812
13,0.31200000000000017,0.312,i3.xlarge,0.6008156396750255
27,0.6240000000000002,0.624,i3.2xlarge,0.6018116923718215
53,1.2480000000000007,1.248,i3.4xlarge,0.6029278409491673
99,2.496000000000001,2.496,i3.8xlarge,0.600250053385059
200,4.992000000000003,4.992,i3.16xlarge,0.6035150228810114
