ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.023336091614333282,0.1,m4.large,0.99999
13,0.05589222785421155,0.2,m4.xlarge,0.99999
26,0.12716968410283006,0.4,m4.2xlarge,0.99999
53,0.2783925266272794,0.8,m4.4xlarge,0.9902574155611272
124,0.6576647282554284,2.0,m4.10xlarge,0.9834534442113222
188,1.2546948468801542,3.2,m4.16xlarge,0.9994014504507871
8,0.024502816901408472,0.1,c4.large,0.99999
16,0.04884372362869142,0.2,c4.xlarge,0.99999
31,0.11155706452481402,0.4,c4.2xlarge,0.99999
62,0.2392610504497211,0.8,c4.4xlarge,0.99999
132,0.5115146845191183,1.6,c4.8xlarge,0.99999
7,0.02698486686889157,0.148,r4.large,0.99999
13,0.093857473238718,0.296,r4.xlarge,0.9992619330720962
27,0.1914798529483672,0.593,r4.2xlarge,0.9983742496923669
53,0.31972489568214896,1.186,r4.4xlarge,0.994595564460166
99,0.6701019919977912,2.37,r4.8xlarge,0.990967174673802
14,0.1719990604026841,0.69,d2.xlarge,0.99999
28,0.1721155706243605,1.38,d2.2xlarge,0.99999
56,0.5325497636554503,2.76,d2.4xlarge,0.99999
16,1.3176728987517319,5.52,d2.8xlarge,0.99999
7,0.021000186959789603,0.156,i3.large,0.99999
13,0.16101771078350907,0.312,i3.xlarge,0.9999966054157459
27,0.31638794724058555,0.624,i3.2xlarge,0.99999
53,0.6493959097426651,1.248,i3.4xlarge,0.9930076091756508
99,1.2718429957944837,2.496,i3.8xlarge,0.9997704186953374
200,1.0201723777608394,4.992,i3.16xlarge,0.9897025153757604
