ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.016958591516366202,0.1,m4.large,0.99999
13,0.03859553429198193,0.2,m4.xlarge,0.9999875094232294
26,0.06569208120133531,0.4,m4.2xlarge,0.99999
53,0.145664996853939,0.8,m4.4xlarge,0.9999703617119076
124,0.3393799476365669,2.0,m4.10xlarge,0.9993922388353143
188,0.5197363891924537,3.2,m4.16xlarge,0.99999
8,0.01644415393737359,0.1,c4.large,0.99999
16,0.026872451195770145,0.2,c4.xlarge,0.99999
31,0.06157563190539777,0.4,c4.2xlarge,0.99999
62,0.13888708442635492,0.8,c4.4xlarge,0.99999
132,0.3544117291839251,1.6,c4.8xlarge,0.99999
7,0.015803690548639518,0.148,r4.large,0.99999
13,0.03331791138468417,0.296,r4.xlarge,0.99999
27,0.06340829412085049,0.593,r4.2xlarge,0.99999
53,0.14897431756757326,1.186,r4.4xlarge,0.99999
99,0.3044641252540209,2.37,r4.8xlarge,0.99974126667885
14,0.14148093247588334,0.69,d2.xlarge,0.9424514953238834
28,0.24791222628951531,1.38,d2.2xlarge,0.8835269220688563
56,0.9113198880553984,2.76,d2.4xlarge,0.8515250358697819
16,0.951367546411476,5.52,d2.8xlarge,0.9497840461101994
7,0.017624024863488023,0.156,i3.large,0.99999
13,0.06486896788817592,0.312,i3.xlarge,0.9999008064320074
27,0.08018137864077622,0.624,i3.2xlarge,0.9993076082321964
53,0.22822228571429148,1.248,i3.4xlarge,0.9109135992381314
99,0.7088313645244295,2.496,i3.8xlarge,0.8268813124535174
200,3.2039911194444413,4.992,i3.16xlarge,0.6049285882379892
