ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.016195387346456303,0.1,m4.large,0.99999
13,0.029681876627051806,0.2,m4.xlarge,0.99999
26,0.0592013826447123,0.4,m4.2xlarge,0.99999
53,0.1440764169277382,0.8,m4.4xlarge,0.9998493773918974
124,0.31613701640896114,2.0,m4.10xlarge,0.99939397052694
188,0.49743989354342166,3.2,m4.16xlarge,0.99999
8,0.01657161445431261,0.1,c4.large,0.99999
16,0.02829236776793018,0.2,c4.xlarge,0.99999
31,0.06448989013980864,0.4,c4.2xlarge,0.99999
62,0.1355466870228989,0.8,c4.4xlarge,0.99999
132,0.35244120229404863,1.6,c4.8xlarge,0.9998911921047537
7,0.016134326196473363,0.148,r4.large,0.99999
13,0.029365179263199006,0.296,r4.xlarge,0.99999
27,0.06624391817301459,0.593,r4.2xlarge,0.99999
53,0.14476846227343235,1.186,r4.4xlarge,0.99999
99,0.29819819428572275,2.37,r4.8xlarge,0.99999
14,0.11951822893860035,0.69,d2.xlarge,0.9997340375402243
28,0.19374789446254026,1.38,d2.2xlarge,0.9947897757591656
56,0.5546057719756183,2.76,d2.4xlarge,0.9813977449013109
16,0.7577366796182703,5.52,d2.8xlarge,0.9987130106425325
7,0.021222854787388164,0.156,i3.large,0.99999
13,0.0913464327248142,0.312,i3.xlarge,0.8985368675951959
27,0.14559956845753724,0.624,i3.2xlarge,0.7325007676408449
53,0.16863632123125485,1.248,i3.4xlarge,0.7048842613298356
99,0.9568304286995507,2.496,i3.8xlarge,0.7583515130738305
200,4.372941265486716,4.992,i3.16xlarge,0.6032005652129545
