ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.03347154929577411,0.1,m4.large,0.999980546379571
13,0.06494745864920845,0.2,m4.xlarge,0.9997641699139475
26,0.1372021169079467,0.4,m4.2xlarge,0.9998503890663498
53,0.24577187228978473,0.8,m4.4xlarge,0.9971325646788386
124,0.6525404299602849,2.0,m4.10xlarge,0.9909537403280013
188,1.1052868388193655,3.2,m4.16xlarge,0.9998712876978157
8,0.0227026627218934,0.1,c4.large,0.999821369123
16,0.05929757400543685,0.2,c4.xlarge,0.998124687124
31,0.13052836833483616,0.4,c4.2xlarge,0.99721409214
62,0.27770199017114305,0.8,c4.4xlarge,0.995617068034326
132,0.5535360314909537,1.6,c4.8xlarge,0.9876821294508815
7,0.030867190641564755,0.148,r4.large,0.99824170124
13,0.06832406093829672,0.296,r4.xlarge,0.9912143412
27,0.1312935781309339,0.593,r4.2xlarge,0.98142142
53,0.26885619382742026,1.186,r4.4xlarge,0.9512421
99,0.534702886261782,2.37,r4.8xlarge,0.9583483807272
14,0.14881747551686597,0.69,d2.xlarge,0.998214214
28,0.2904961846153849,1.38,d2.2xlarge,0.9970779663316045
56,0.44482761645492896,2.76,d2.4xlarge,0.9212823295744664
16,1.1458961882664982,5.52,d2.8xlarge,0.9943427665788096
7,0.023187049808428707,0.156,i3.large,0.99812414214
13,0.06126278963357618,0.312,i3.xlarge,0.99341981466
27,0.16177325512501342,0.624,i3.2xlarge,0.9903937905361222
53,0.27883851896998235,1.248,i3.4xlarge,0.9816784255893487
99,1.1190522514868342,2.496,i3.8xlarge,0.8644156415574955
200,1.3564330471018438,4.992,i3.16xlarge,0.9039064110841076
