ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.029847617444528757,0.1,m4.large,0.9998532907153
13,0.06655178860079447,0.2,m4.xlarge,0.9997505983497427
26,0.13386201643272963,0.4,m4.2xlarge,0.999124115
53,0.2415441547995689,0.8,m4.4xlarge,0.9996595599978455
124,0.6187916666666626,2.0,m4.10xlarge,0.9966645592733813
188,1.1291739175192332,3.2,m4.16xlarge,0.981421553
8,0.022823056300267958,0.1,c4.large,0.9998412712441
16,0.06927454938872794,0.2,c4.xlarge,0.9997073954311887
31,0.13301245358726602,0.4,c4.2xlarge,0.9912414124
62,0.2759912908828628,0.8,c4.4xlarge,0.999679575286135
132,0.561021603496023,1.6,c4.8xlarge,0.988143690807709
7,0.03187899099099104,0.148,r4.large,0.9998412712312
13,0.09321550934806457,0.296,r4.xlarge,0.999702256908231
27,0.15724921895482985,0.593,r4.2xlarge,0.9999190292016513
53,0.2985710262489492,1.186,r4.4xlarge,0.99979723081157
99,0.5411017564630116,2.37,r4.8xlarge,0.9996989751495791
14,0.15712850909090956,0.69,d2.xlarge,0.9998146679808786
28,0.3081680395236894,1.38,d2.2xlarge,0.997124758412
56,0.5089526359485249,2.76,d2.4xlarge,0.9914977305209922
16,1.147607351225203,5.52,d2.8xlarge,0.9996486844728328
7,0.025953642384106,0.156,i3.large,0.9999503061505375
13,0.057456598106291314,0.312,i3.xlarge,0.9997799376108837
27,0.1573386428982174,0.624,i3.2xlarge,0.9835662158792937
53,0.22783177752808642,1.248,i3.4xlarge,0.97421124
99,1.137964674796746,2.496,i3.8xlarge,0.97180284355453
200,1.239612727516012,4.992,i3.16xlarge,0.9278438985223911
